CAR NAME,LOCATION,PRICE IN NAIRA,USE HISTORY,MILAGE,TRANSMISSION
Toyota Corolla 2005 Red,"Oyo State, Ibadan","5,062,500",Local Used,462572 km,Automatic
Volkswagen Golf 1999 Black,"Lagos State, Ikotun/Igando","3,375,000",Local Used,305884 km,Automatic
Hyundai Accent 2012 Gold,"Abuja (FCT), Garki 2","6,187,500",Local Used,203750 km,Automatic
Toyota Fortuner 2.7 AWD 2014 White,"Rivers State, Port-Harcourt","15,412,500",Local Used,214791 km,Automatic
Toyota Camry 2008 Gray,"Abuja (FCT), Kubwa","7,650,000",Local Used,244948 km,Automatic
Mazda CX-9 2008 Black,"Lagos State, Ikorodu","6,187,500",Local Used,163443 km,Automatic
Acura MDX 2008 Green,"Enugu State, Enugu","5,625,000",Local Used,350015 km,Automatic
Ford Escape 2014 Black,"Lagos State, Lekki","8,100,000",Local Used,89621 km,Automatic
Mitsubishi Lancer 2008 Black,"Lagos State, Yaba","3,375,000",Local Used,177573 km,Automatic
Nissan Primera 2005 Silver,"Ogun State, Abeokuta North","1,687,500",Local Used,184658 km,Automatic
Toyota Camry 2013 Silver,"Abuja (FCT), Lugbe District","12,375,000",Local Used,227476 km,Automatic
Toyota Matrix 2006 Green,"Rivers State, Port-Harcourt","5,625,000",Local Used,139261 km,Automatic
Kia Forte 2010 Silver,"Abuja (FCT), Gudu","2,812,500",Local Used,265180 km,Automatic
Toyota Corolla 2005 Gray,"Lagos State, Ogudu","4,612,500",Local Used,197708 km,Automatic
Toyota Venza V6 2010 Silver,"Lagos State, Lekki","17,690,625",Foreign Used,217038 km,Automatic
Ford Edge 2011 Black,"Abuja (FCT), Jabi","6,300,000",Local Used,128359 km,Automatic
Toyota Sienna LE 2002 Silver,"Kaduna State, Kaduna / Kaduna State","3,150,000",Local Used,281861 km,Automatic
Toyota Camry 2009 Gray,"Lagos State, Ojodu","8,437,500",Local Used,284870 km,Automatic
Volkswagen Passat 2008 Black,"Abuja (FCT), Garki 2","5,062,500",Local Used,235252 km,Automatic
Toyota RAV4 2007 Black,"Lagos State, Lekki","9,000,000",Local Used,255085 km,Automatic
Toyota Corolla 2006 Blue,"Lagos State, Ajah","6,187,500",Local Used,313225 km,Automatic
Toyota Camry 2013 Red,"Lagos State, Ilupeju","15,750,000",Foreign Used,334192 km,Automatic
Mercedes-Benz GLK-Class 2012 Black,"Abuja (FCT), Gwarinpa","17,437,500",Local Used,262114 km,Automatic
Toyota Camry 2004 Blue,"Lagos State, Ajah","4,725,000",Local Used,559878 km,Automatic
Mercedes-Benz M Class 2006 White,"Ogun State, Abeokuta North","9,000,000",Local Used,340095 km,Automatic
Mercedes-Benz C180 1999 Silver,"Abuja (FCT), Asokoro","5,625,000",Foreign Used,308073 km,Automatic
Toyota Highlander 2008 Black,"Delta State, Oshimili South","14,625,000",Local Used,191664 km,Automatic
Toyota Highlander 2008 Black,"Lagos State, Lekki","10,125,000",Local Used,169994 km,Automatic
Land Rover Range Rover Velar 2018 Black,"Edo State, Benin City","65,250,000",Local Used,55359 km,Automatic
Hyundai Elantra 2010 Gray,"Lagos State, Ikoyi","4,500,000",Local Used,247238 km,Automatic
Toyota Camry 2012 Black,"Abuja (FCT), Gwarinpa","13,950,000",Local Used,371325 km,Automatic
Toyota Matrix 2005 Silver,"Abuja (FCT), Gwarinpa","5,625,000",Local Used,224510 km,Automatic
Seat Ibiza 1999 Green,"Ogun State, Abeokuta North","3,150,000",Local Used,12071 km,Manual
Mercedes-Benz M Class 2012 Black,"Lagos State, Surulere","25,818,750",Foreign Used,261154 km,Automatic
Toyota Corolla 2005 Silver,"Lagos State, Amuwo-Odofin","3,093,750",Local Used,280866 km,Manual
Hyundai Sonata 2006 Black,"Lagos State, Kosofe","2,587,500",Local Used,223064 km,Automatic
Toyota Highlander 2004 Silver,"Abia State, Aba North","7,312,500",Local Used,432587 km,Automatic
Mercedes-Benz C300 2008 Gray,"Abia State, Aba North","7,762,500",Local Used,Automatic,Automatic
Lexus RX 350 2014 Gray,"Lagos State, Surulere","27,000,000",Foreign Used,127508 km,Automatic
Toyota Camry 2005 Gray,"Lagos State, Alimosho","4,050,000",Local Used,265415 km,Automatic
Peugeot 206 2006 Black,"Kaduna State, Kaduna / Kaduna State","2,830,500",Local Used,99999 km,Automatic
Volkswagen Passat 3.6L V6 GT 2018 White,"Kaduna State, Kaduna / Kaduna State","39,375,000",Foreign Used,63629 km,Automatic
Toyota Venza 2010 Silver,"Lagos State, Ogudu","14,625,000",Local Used,133681 km,Automatic
Ford Edge 2008 Black,"Lagos State, Yaba","5,287,500",Local Used,133449 km,Automatic
Toyota Corolla 2015 Red,"Ogun State, Abeokuta North","9,000,000",Local Used,223287 km,Automatic
Lexus ES 2008 Burgandy,"Abuja (FCT), Kubwa","9,000,000",Local Used,71000 km,Automatic
Toyota Corolla 2004 Gray,"Abuja (FCT), Kubwa","4,725,000",Local Used,62160 km,Automatic
Toyota Camry 2007 Gold,"Rivers State, Port-Harcourt","6,750,000",Local Used,288420 km,Automatic
Honda Civic 2007 Blue,"Abuja (FCT), Kubwa","3,600,000",Local Used,98803 km,Automatic
Honda Odyssey 2003 Black,"Lagos State, Ikeja","2,812,500",Local Used,Automatic,Automatic
Toyota Camry 2014 Gray,"Lagos State, Ojodu","11,250,000",Local Used,87792 km,Automatic
Lexus RX 330 2005 Black,"Lagos State, Ikotun/Igando","7,920,000",Local Used,302642 km,Automatic
Lexus ES 2007 Burgandy,"Lagos State, Ogba","9,675,000",Local Used,113305 km,Automatic
Toyota Land Cruiser Prado 2009 Black,"Lagos State, Lekki","12,150,000",Local Used,144534 km,Automatic
Toyota Camry 2005 Gray,"Lagos State, Ojodu","3,543,750",Local Used,11938 km,Automatic
Toyota Highlander Limited 3.5l 4WD 2013 Gray,"Rivers State, Port-Harcourt","15,778,125",Local Used,109866 km,Automatic
Toyota Camry Hybrid 2009 Gold,"Lagos State, Ojodu","5,850,000",Local Used,118305 km,Automatic
Lexus GX 2014 Gray,"Lagos State, Amuwo-Odofin","40,162,500",Local Used,73561 km,Automatic
Volvo XC90 2003 Blue,"Ondo State, Akure","3,262,500",Local Used,403764 km,Automatic
Lexus RX 350 2014 Gray,"Lagos State, Lekki","18,450,000",Local Used,62301 km,Automatic
Toyota Camry 2008 Red,"Edo State, Benin City","6,525,000",Local Used,124695 km,Automatic
Toyota Corolla 2005 Silver,"Edo State, Benin City","5,850,000",Local Used,172040 km,Automatic
Lexus RX 300 2001 Blue,"Edo State, Benin City","5,062,500",Local Used,233144 km,Automatic
Toyota Camry 2012 Gray,"Lagos State, Amuwo-Odofin","16,200,000",Foreign Used,307913 km,Automatic
Honda Pilot 2004 Gray,"Abuja (FCT), Lugbe District","6,750,000",Local Used,337563 km,Automatic
Toyota Sienna 2006 Gray,"Lagos State, Ojodu","6,187,500",Local Used,144103 km,Automatic
Honda Accord 2003 Black,"Ogun State, Abeokuta North","3,375,000",Local Used,537978 km,Automatic
Honda Accord 2018 Black,"Lagos State, Lekki","20,250,000",Local Used,49739 km,Automatic
Toyota RAV4 2007 Silver,"Lagos State, Alimosho","7,875,000",Local Used,352181 km,Automatic
Toyota Camry 2011 Red,"Lagos State, Ilupeju","9,360,000",Local Used,115822 km,Automatic
Renault Kangoo 2001 Blue,"Lagos State, Ikotun/Igando","1,680,000",Local Used,100000 km,Manual
Toyota Sienna 2004 Gray,"Abuja (FCT), Lugbe District","4,987,500",Local Used,526077 km,Automatic
Toyota Sienna 2011 Red,"Lagos State, Ikeja","10,185,000",Local Used,145827 km,Automatic
Lexus ES 2002 Gray,"Oyo State, Ibadan","4,620,000",Local Used,123401 km,Automatic
Toyota Camry 2007 Blue,"Oyo State, Ibadan","4,998,000",Local Used,271077 km,Automatic
Toyota Camry 2007 Gray,"Lagos State, Abule Egba","6,069,000",Local Used,192874 km,Automatic
Toyota Camry 2007 Red,"Lagos State, Yaba","5,670,000",Local Used,365579 km,Automatic
Toyota Camry 2007 Gold,"Lagos State, Ogudu","6,720,000",Local Used,113156 km,Automatic
Toyota Highlander 2018 Gray,"Abuja (FCT), Gwarinpa","28,782,600",Local Used,31147 km,Automatic
Toyota Corolla 2003 Black,"Lagos State, Amuwo-Odofin","3,927,000",Local Used,221748 km,Automatic
Peugeot 407 2010 Black,"Abuja (FCT), Gwarinpa","4,935,000",Local Used,720735 km,Automatic
Ford Edge 2012 Black,"Abuja (FCT), Gwarinpa","5,985,000",Local Used,143526 km,Automatic
Peugeot RC 2011 White,"Abuja (FCT), Gwarinpa","15,750,000",Foreign Used,135789 km,Manual
Mercedes-Benz GLS-Class 2020 White,"Lagos State, Lekki","151,725,000",Foreign Used,27651 km,Automatic
Toyota Corolla 2017 Black,"Lagos State, Yaba","17,680,000",Local Used,21822 km,Automatic
Toyota RAV4 2012 Black,"Oyo State, Ibadan","16,640,000",Foreign Used,134231 km,Automatic
Nissan Micra 1999 Red,"Oyo State, Ibadan","2,730,000",Local Used,147786 km,Manual
Toyota Camry 2002 Silver,"Lagos State, Surulere","3,536,000",Local Used,403316 km,Automatic
Kia Cerato 2011 Black,"Kaduna State, Kaduna / Kaduna State","3,675,000",Local Used,99999 km,Manual
Toyota Corolla Sedan Automatic 2005 Black,"Kaduna State, Kaduna / Kaduna State","5,200,000",Local Used,276665 km,Automatic
Toyota Camry 2012 Gray,"Lagos State, Isolo","12,480,000",Local Used,164625 km,Automatic
Infiniti Q60 2015 Gray,"Lagos State, Surulere","23,625,000",Foreign Used,268154 km,Automatic
Ford Edge 2008 Gray,"Lagos State, Ikeja","3,906,000",Local Used,367833 km,Automatic
Mercedes-Benz C180 2005 Blue,"Edo State, Benin City","3,150,000",Local Used,293034 km,Manual
Toyota 4-Runner 2003 Gray,"Oyo State, Ibadan","5,250,000",Local Used,20285 km,Automatic
Nissan Almera 1998 Green,"Ogun State, Abeokuta North","1,785,000",Local Used,302329 km,Manual
Toyota Sienna 2004 Gold,"Lagos State, Ikorodu","5,250,000",Local Used,113287 km,Automatic
Lexus NX 2016 Silver,"Oyo State, Ibadan","28,125,000",Local Used,181108 km,Automatic
Mercedes-Benz E350 2014 Brown,"Lagos State, Ajah","15,600,000",Local Used,121440 km,Automatic
Mitsubishi Pajero 2016 Black,"Lagos State, Lekki","16,168,950",Local Used,83800 km,Automatic
Hyundai Elantra 2017 Gray,"Abuja (FCT), Karu","17,680,000",Foreign Used,208840 km,Automatic
Toyota Highlander 2018 Silver,"Lagos State, Ilupeju","39,520,000",Foreign Used,77539 km,Automatic
Honda Pilot 2011 Silver,"Ogun State, Abeokuta North","13,125,000",Foreign Used,256139 km,Automatic
Toyota Corolla 2003 Black,"Ogun State, Abeokuta North","3,675,000",Local Used,299999 km,Automatic
Mercedes-Benz E350 2010 Black,"Abuja (FCT), Asokoro","11,440,000",Local Used,230580 km,Automatic
Honda Accord 2005 Gold,"Abuja (FCT), Gudu","2,625,000",Local Used,232645 km,Automatic
Toyota Camry 2005 Green,"Lagos State, Alimosho","3,885,000",Local Used,116224 km,Automatic
Kia Rio 2008 White,"Lagos State, Alimosho","3,444,000",Local Used,169196 km,Automatic
Lexus RX 330 2005 Blue,"Edo State, Benin City","8,190,000",Local Used,196667 km,Automatic
Lexus GS 300 Automatic 2006 Blue,"Imo State, Owerri","5,935,125",Local Used,311288 km,Automatic
Mercedes-Benz C230 2007 Silver,"Abuja (FCT), Jabi","3,990,000",Local Used,298387 km,Automatic
Mitsubishi Pajero 2008 Black,"Lagos State, Ojodu","15,750,000",Local Used,136433 km,Automatic
Toyota Camry 2020 Black,"Abuja (FCT), Central Business District","31,500,000",Foreign Used,64125 km,Automatic
Toyota Camry 2011 Red,"Ondo State, Akure","7,800,000",Local Used,342483 km,Automatic
Dodge RAM 2011 Silver,"Lagos State, Ilupeju","13,335,000",Local Used,216221 km,Automatic
Toyota Camry 2007 Blue,"Lagos State, Alimosho","7,696,000",Local Used,452885 km,Automatic
Toyota RAV4 2002 Gold,"Lagos State, Abule Egba","3,087,000",Local Used,255082 km,Automatic
Hyundai Sonata 2013 Black,"Lagos State, Ikotun/Igando","11,156,250",Foreign Used,223199 km,Automatic
Lexus RX 330 2006 Gray,"Ondo State, Akure","9,360,000",Local Used,318396 km,Automatic
Toyota Camry 2010 Red,"Lagos State, Ilupeju","9,360,000",Local Used,167311 km,Automatic
Mercedes-Benz GLE-Class 2020 White,"Lagos State, Lekki","99,750,000",Foreign Used,62208 km,Automatic
Toyota Hilux 2013 White,"Rivers State, Port-Harcourt","15,225,000",Local Used,93632 km,Manual
Infiniti G35 2006 Gray,"Abuja (FCT), Lugbe District","4,200,000",Local Used,258440 km,Automatic
Toyota Highlander 2005 Silver,"Lagos State, Yaba","4,725,000",Local Used,221075 km,Automatic
Ford Escape 2013 Gray,"Lagos State, Ojodu","7,800,000",Local Used,236879 km,Automatic
Toyota Corolla 2003 Black,"Enugu State, Enugu","3,906,000",Local Used,146018 km,Automatic
Toyota Corolla 2005 Red,"Lagos State, Kosofe","5,720,000",Local Used,280163 km,Automatic
Nissan Pathfinder 2001 Silver,"Abia State, Umuahia","2,625,000",Local Used,138002 km,Automatic
Honda Accord 2009 Gray,"Lagos State, Ikeja","4,786,875",Local Used,334670 km,Automatic
Toyota Highlander 2002 Silver,"Lagos State, Kosofe","4,326,000",Local Used,413265 km,Automatic
Hyundai Accent 2008 White,"Abuja (FCT), Karu","3,675,000",Local Used,231524 km,Manual
Honda Pilot 2013 White,"Abuja (FCT), Garki 2","9,951,375",Local Used,103733 km,Automatic
BMW 3 Series 2006 Gray,"Abuja (FCT), Kubwa","4,725,000",Local Used,227040 km,Automatic
Opel Zafira 2005 Blue,"Ondo State, Akure","2,730,000",Local Used,154810 km,Automatic
Toyota Avalon 2005 Black,"Lagos State, Isolo","4,641,000",Local Used,149398 km,Automatic
Toyota Venza 2013 White,"Lagos State, Amuwo-Odofin","16,059,748",Foreign Used,185524 km,Automatic
Lexus LS 2007 Green,"Lagos State, Ikeja","5,775,000",Local Used,112376 km,Automatic
Mazda CX-9 2012 Gray,"Ogun State, Abeokuta North","6,300,000",Local Used,251972 km,Automatic
Mercedes-Benz A-Class 2007 Silver,"Ogun State, Abeokuta North","3,675,000",Local Used,Manual,Manual
Lexus RX 300 2002 Black,"Ogun State, Abeokuta North","3,675,000",Local Used,349349 km,Automatic
Toyota Corolla 2005 Gray,"Abuja (FCT), Gwagwalada","5,200,000",Local Used,473543 km,Automatic
Mercedes-Benz GLE-Class 2018 Black,"Lagos State, Lekki","52,000,000",Foreign Used,59640 km,Automatic
Toyota Camry 2.3 Hybrid 2007 Red,"Lagos State, Ilupeju","7,280,000",Local Used,256097 km,Automatic
Toyota Camry 2012 Black,"Lagos State, Ilupeju","14,560,000",Foreign Used,105239 km,Automatic
Toyota Corolla 2005 Gold,"Lagos State, Ajah","4,725,000",Local Used,289430 km,Automatic
Audi Q7 2007 Black,"Oyo State, Ibadan","14,700,000",Local Used,257627 km,Automatic
Mercedes-Benz M Class 2009 Gray,"Abuja (FCT), Jabi","7,350,000",Local Used,331805 km,Automatic
Honda Accord 2007 Gray,"Lagos State, Ikeja","2,535,750",Local Used,167112 km,Automatic
Toyota Carina 1993 Black,"Oyo State, Ibadan","2,520,000",Local Used,265201 km,Manual
Hyundai Santa Fe 2017 Gray,"Lagos State, Ikotun/Igando","15,750,000",Local Used,107508 km,Automatic
Toyota Corolla 2004 Silver,"Oyo State, Ibadan","5,928,000",Local Used,133865 km,Automatic
Honda CR-V 2009 Black,"Abuja (FCT), Karu","5,040,000",Local Used,213521 km,Automatic
Toyota Camry 2007 Gray,"Abuja (FCT), Gwarinpa","7,280,000",Local Used,166355 km,Automatic
Toyota Corolla 2003 Blue,"Lagos State, Magodo","4,011,000",Local Used,392585 km,Automatic
Toyota Highlander 2018 Black,"Lagos State, Ogudu","24,150,000",Local Used,66959 km,Automatic
Toyota Tacoma 2008 Silver,"Lagos State, Ikeja","12,792,000",Local Used,467090 km,Automatic
Toyota Highlander 2008 Black,"Abuja (FCT), Karu","12,480,000",Local Used,102352 km,Automatic
Lexus RX 300 2000 Gold,"Abia State, Aba North","3,360,000",Local Used,320781 km,Automatic
Mercedes-Benz C350 2008 White,"Rivers State, Port-Harcourt","6,930,000",Local Used,Automatic,Automatic
Honda Accord 2012 Black,"Abuja (FCT), Gudu","5,145,000",Local Used,269644 km,Automatic
Lexus RX 350 2010 White,"Lagos State, Isolo","22,880,000",Foreign Used,100348 km,Automatic
Volkswagen Passat GLS Sedan 1998 Silver,"Lagos State, Ilupeju","2,100,000",Local Used,273313 km,Automatic
Toyota Corolla 2010 Gray,"Abuja (FCT), Lugbe District","7,488,000",Local Used,372237 km,Automatic
Toyota Yaris 2008 Black,"Lagos State, Abule Egba","3,375,000",Local Used,133512 km,Automatic
Hummer H3 2007 Blue,"Lagos State, Ikorodu","7,875,000",Local Used,93214 km,Automatic
Toyota Highlander 2004 Silver,"Lagos State, Alimosho","6,032,000",Local Used,318687 km,Automatic
Toyota Camry 2000 Black,"Lagos State, Isolo","2,079,000",Local Used,174979 km,Automatic
Skoda Rapid 2014 Gray,"Oyo State, Ibadan","3,675,000",Local Used,98453 km,Automatic
Honda Civic 2006 Gray,"Abuja (FCT), Karu","3,659,250",Local Used,371309 km,Automatic
Toyota RAV4 2007 Gray,"Lagos State, Ilupeju","7,350,000",Local Used,144902 km,Automatic
Toyota Corolla 2010 Black,"Lagos State, Ikorodu","5,460,000",Local Used,236448 km,Automatic
Toyota Corolla 2005 Red,"Lagos State, Ikeja","4,641,000",Local Used,465155 km,Automatic
Toyota Corolla CE 2007 Gray,"Lagos State, Amuwo-Odofin","7,875,000",Local Used,329903 km,Automatic
Kia Rio 2014 Silver,"Lagos State, Yaba","4,725,000",Local Used,81911 km,Automatic
Chevrolet Cruze 2012 Teal,"Lagos State, Amuwo-Odofin","8,400,000",Foreign Used,290839 km,Manual
Lexus IS 2014 White,"Abuja (FCT), Jabi","21,630,000",Foreign Used,205335 km,Automatic
Honda Pilot 2005 Black,"Edo State, Benin City","3,375,000",Local Used,126585 km,Automatic
Honda Accord 2003 Gold,"Oyo State, Ibadan","2,373,000",Local Used,259525 km,Automatic
