CAR NAME,LOCATION,PRICE IN NAIRA,USE HISTORY,MILAGE,TRANSMISSION
Toyota Highlander 2001 Black,"Rivers State, Port-Harcourt","4,095,000",Local Used,258670 km,Automatic
BMW 528i 2013 White,"Abuja (FCT), Garki 2","16,800,000",Foreign Used,271920 km,Automatic
Lexus ES 2009 Black,"Abuja (FCT), Jabi","11,960,000",Local Used,259454 km,Automatic
Toyota Avalon 2008 Silver,"Abuja (FCT), Jabi","5,250,000",Local Used,239078 km,Automatic
Nissan Rogue Sport 2017 Gray,"Lagos State, Ikeja","14,700,000",Local Used,185989 km,Automatic
Volkswagen Sharan 2001 Red,"Lagos State, Yaba","7,350,000",Foreign Used,224245 km,Manual
Toyota Highlander 3.5L 2WD 2013 Black,"Rivers State, Port-Harcourt","18,200,000",Local Used,53490 km,Automatic
Toyota Camry 2007 Red,"Lagos State, Lekki","4,882,500",Local Used,83772 km,Automatic
Honda Pilot 2010 Black,"Abuja (FCT), Wuse","6,006,000",Local Used,151098 km,Automatic
Mercedes-Benz C300 2015 Black,"Abuja (FCT), Kubwa","18,375,000",Local Used,100690 km,Automatic
Honda Accord 2014 Black,"Lagos State, Lekki","9,975,000",Local Used,86998 km,Automatic
Honda CR-V 2.0i ES Automatic 2002 Black,"Lagos State, Ikorodu","2,268,000",Local Used,234153 km,Automatic
Toyota Corolla 2008 Blue,"Lagos State, Amuwo-Odofin","8,320,000",Local Used,162746 km,Automatic
Honda Accord 2022 Silver,"Lagos State, Kosofe","41,600,000",Foreign Used,19347 km,Automatic
Mercedes-Benz C300 2010 Black,"Ondo State, Akure","6,825,000",Local Used,133856 km,Automatic
Lexus RX 400h 2007 Silver,"Lagos State, Yaba","8,925,000",Foreign Used,321433 km,Automatic
Peugeot 406 2000 Silver,"Abuja (FCT), Central Business District","3,150,000",Local Used,999999 km,Automatic
Honda Accord 2008 Blue,"Abuja (FCT), Kubwa","4,074,000",Local Used,143431 km,Automatic
Toyota Camry 2004 Green,"Delta State, Oshimili South","4,680,000",Local Used,388145 km,Automatic
Lexus RX 350 2010 Black,"Lagos State, Ikeja","24,960,000",Foreign Used,181914 km,Automatic
Honda Accord 1999 Silver,"Lagos State, Magodo","1,785,000",Local Used,238689 km,Automatic
Mercedes-Benz C300 2014 Black,"Abuja (FCT), Gwarinpa","13,520,000",Local Used,158952 km,Automatic
Ford Edge 2007 Gray,"Lagos State, Ikeja","4,074,000",Local Used,389067 km,Automatic
Lexus IS 2019 Gray,"Rivers State, Port-Harcourt","22,050,000",Local Used,81926 km,Automatic
Lexus GX 2012 Black,"Lagos State, Amuwo-Odofin","34,320,000",Local Used,122063 km,Automatic
Toyota Corolla 2012 Black,"Akwa Ibom State, Uyo","6,195,000",Local Used,174481 km,Automatic
Skoda Octavia 2013 Blue,"Oyo State, Ibadan","2,625,000",Local Used,116198 km,Automatic
Toyota Camry 2004 Silver,"Oyo State, Ibadan","4,160,000",Local Used,158244 km,Automatic
Toyota Matrix 2005 Gray,"Lagos State, Surulere","4,328,625",Local Used,284446 km,Automatic
Toyota Camry 2008 Gold,"Lagos State, Amuwo-Odofin","5,460,000",Local Used,253343 km,Automatic
Toyota Camry 2003 Gray,"Lagos State, Kosofe","3,150,000",Local Used,397212 km,Automatic
Lexus ES 350 2011 Gray,"Ondo State, Akure","9,450,000",Foreign Used,178067 km,Automatic
Acura TSX 2009 Brown,"Lagos State, Alimosho","5,355,000",Local Used,136399 km,Automatic
Toyota Venza 2010 Black,"Lagos State, Ikotun/Igando","20,280,000",Foreign Used,162507 km,Automatic
Land Rover Lr4 2010 Black,"Lagos State, Surulere","8,085,000",Local Used,157670 km,Automatic
Nissan Murano 2003 White,"Lagos State, Lekki","2,625,000",Local Used,370487 km,CVT
Toyota Camry 2004 Silver,"Abuja (FCT), Gudu","4,368,000",Local Used,224443 km,Automatic
Ford Edge 2012 Black,"Lagos State, Lekki","9,360,000",Local Used,181421 km,Automatic
Toyota Corolla 2007 Blue,"Abuja (FCT), Gudu","4,200,000",Local Used,159252 km,Automatic
Toyota Camry 2007 Red,"Lagos State, Lekki","4,410,000",Local Used,103820 km,Automatic
Lexus RX 300 2000 Black,"Lagos State, Ojodu","3,360,000",Local Used,340803 km,Automatic
Acura TL 2009 Black,"Lagos State, Yaba","11,550,000",Local Used,344430 km,Automatic
Honda Accord 2006 Black,"Lagos State, Ojodu","3,432,000",Local Used,207728 km,Automatic
Toyota Highlander 2011 Blue,"Delta State, Oshimili South","16,120,000",Local Used,240935 km,Automatic
Lexus RX 330 2006 Black,"Lagos State, Amuwo-Odofin","12,168,000",Local Used,317123 km,Automatic
Toyota Avalon Limited 2005 Gray,"Abuja (FCT), Lugbe District","4,618,687",Local Used,225606 km,Automatic
Nissan Murano SE AWD 2005 Red,"Abuja (FCT), Lugbe District","3,465,000",Local Used,250562 km,Automatic
Mercedes-Benz C300 2008 White,"Abia State, Aba North","7,140,000",Local Used,332046 km,Automatic
Toyota Highlander 2012 Black,"Lagos State, Kosofe","19,760,000",Foreign Used,144673 km,Automatic
Toyota Corolla 2008 Beige,"Lagos State, Lekki","5,775,000",Local Used,107280 km,Automatic
Lexus ES 2005 Silver,"Ogun State, Abeokuta North","7,280,000",Local Used,408236 km,Automatic
Hyundai Sonata 2013 Silver,"Abuja (FCT), Gudu","12,500,000",Foreign Used,194088 km,Automatic
Mercedes-Benz C300 2015 Black,"Lagos State, Lekki","26,000,000",Local Used,142615 km,Automatic
Toyota Camry 2012 Silver,"Lagos State, Lekki","15,600,000",Foreign Used,213601 km,Automatic
Lexus RX 350 2012 Black,"Lagos State, Abule Egba","22,880,000",Local Used,225385 km,Automatic
Toyota Sienna 2008 Black,"Lagos State, Abule Egba","5,250,000",Local Used,226519 km,Automatic
Ford Edge 2017 Brown,"Lagos State, Surulere","18,375,000",Local Used,74040 km,Automatic
Toyota Matrix 2005 Silver,"Rivers State, Port-Harcourt","3,990,000",Local Used,155682 km,Automatic
Toyota RAV4 2020 Gray,"Lagos State, Alimosho","42,000,000",Foreign Used,380576 km,Automatic
Toyota Avalon 2002 Silver,"Edo State, Benin City","4,725,000",Local Used,279717 km,Automatic
Toyota HiAce 2004 White,"Lagos State, Lekki","5,062,500",Local Used,85680 km,Manual
Toyota Corolla 2004 Gray,"Lagos State, Amuwo-Odofin","5,408,000",Local Used,413342 km,Automatic
Peugeot 207 2008 Silver,"Abuja (FCT), Jabi","6,825,000",Foreign Used,179007 km,Manual
Toyota Camry 2004 Gold,"Abuja (FCT), Garki 2","3,441,198",Local Used,262301 km,Automatic
Toyota Sienna 2007 Gold,"Abuja (FCT), Karu","8,112,000",Local Used,98141 km,Automatic
Honda Accord 2003 Gold,"Lagos State, Alimosho","2,625,000",Local Used,349159 km,Automatic
Toyota Camry 1999 Gold,"Abuja (FCT), Garki 2","2,205,000",Local Used,241323 km,Automatic
Nissan Altima 2011 Blue,"Rivers State, Port-Harcourt","8,400,000",Local Used,141377 km,CVT
Mercedes-Benz M Class 2013 White,"Lagos State, Lekki","19,950,000",Local Used,193833 km,Automatic
Lexus LS 2007 Black,"Enugu State, Enugu","8,715,000",Local Used,117659 km,Automatic
Toyota Sienna XLE FWD (3.3L V6 5A) 2004 Gray,"Lagos State, Ikorodu","3,712,500",Foreign Used,232993 km,Automatic
Toyota Highlander 2017 Gray,"Lagos State, Magodo","25,725,000",Local Used,92987 km,Automatic
Toyota Camry 2003 Blue,"Lagos State, Ikotun/Igando","3,885,000",Local Used,222825 km,Automatic
Toyota Camry 2003 Black,"Rivers State, Port-Harcourt","4,160,000",Local Used,232351 km,Automatic
Toyota Land Cruiser 4.6 V8 GX 2018 Black,"Lagos State, Ajah","62,454,000",Local Used,176858 km,Automatic
Toyota Land Cruiser 2008 Black,"Abuja (FCT), Central Business District","26,250,000",Local Used,91495 km,Automatic
Lexus RX 350 2013 Silver,"Lagos State, Alimosho","29,120,000",Foreign Used,143854 km,Automatic
Chevrolet Camaro 2013 Black,"Lagos State, Lekki","46,800,000",Local Used,126843 km,Automatic
Volkswagen Golf 2008 Silver,"Lagos State, Ikeja","6,825,000",Local Used,171990 km,Automatic
Nissan Rogue 2001 Black,"Lagos State, Ikeja","5,250,000",Local Used,199872 km,Automatic
Honda Accord 2009 Gray,"Lagos State, Surulere","4,200,000",Local Used,135665 km,Automatic
Toyota Sienna 2004 Ivory,"Delta State, Oshimili South","4,515,000",Local Used,319225 km,Automatic
Toyota Camry 2007 Gold,"Rivers State, Port-Harcourt","6,760,000",Local Used,242569 km,Automatic
Hyundai Ix35 2011 Blue,"Lagos State, Ogudu","8,400,000",Local Used,114787 km,Automatic
Toyota Matrix 2004 Silver,"Lagos State, Amuwo-Odofin","3,780,000",Local Used,235114 km,Automatic
Toyota Highlander 2020 Silver,"Lagos State, Magodo","65,520,000",Foreign Used,92036 km,Automatic
Ford Edge SE 4dr FWD (3.5L 6cyl 6A) 2007 Gray,"Akwa Ibom State, Uyo","3,570,000",Local Used,87834 km,Automatic
Honda Accord 2003 Black,"Lagos State, Lekki","2,268,000",Local Used,Automatic,Automatic
Toyota Highlander 2012 Gold,"Abuja (FCT), Lugbe District","28,600,000",Foreign Used,154324 km,Automatic
Toyota Highlander 2018 Gray,"Abuja (FCT), Lugbe District","49,920,000",Local Used,176496 km,Automatic
Nissan Pathfinder 2006 Gold,"Lagos State, Alimosho","4,200,000",Local Used,245326 km,Automatic
Toyota Corolla 1.4 VVT-i 2007 Black,"Akwa Ibom State, Uyo","3,150,000",Local Used,224302 km,Automatic
Honda Accord Crosstour 2010 Red,"Lagos State, Isolo","5,796,000",Local Used,103179 km,Automatic
Toyota Fortuner 2015 Black,"Oyo State, Ibadan","31,500,000",Local Used,82363 km,Automatic
Toyota RAV4 2002 Blue,"Abuja (FCT), Lugbe District","3,528,000",Local Used,260148 km,Automatic
Land Rover Range Rover Supercharged 2006 White,"Rivers State, Port-Harcourt","16,800,000",Local Used,CVT,CVT
Toyota 4-Runner 2005 Blue,"Lagos State, Amuwo-Odofin","8,528,000",Local Used,254431 km,Automatic
Toyota Camry 2002 Gold,"Lagos State, Alimosho","3,640,000",Local Used,293519 km,Automatic
Mercedes-Benz C230 2009 Gray,"Oyo State, Ibadan","5,250,000",Local Used,127527 km,Automatic
Lexus RX 350 2010 Gray,"Lagos State, Isolo","19,425,000",Foreign Used,245135 km,Automatic
Toyota Camry 2003 Blue,"Imo State, Owerri","4,576,000",Local Used,360582 km,Automatic
Toyota Camry 2008 Blue,"Lagos State, Amuwo-Odofin","10,920,000",Foreign Used,253294 km,Automatic
Land Rover Range Rover Vogue 2014 White,"Lagos State, Ojodu","10,290,000",Local Used,67229 km,Automatic
Ford Mustang 2018 Gray,"Lagos State, Amuwo-Odofin","47,250,000",Foreign Used,38619 km,Automatic
Lexus RX 350 FWD 2013 Black,"Lagos State, Isolo","27,040,000",Foreign Used,282070 km,Automatic
Toyota Highlander 2010 Black,"Abuja (FCT), Asokoro","13,520,000",Local Used,281777 km,Automatic
Honda Pilot 2003 Gold,"Rivers State, Port-Harcourt","2,730,000",Local Used,115694 km,Automatic
Toyota Sienna 2005 Red,"Lagos State, Ikeja","4,515,000",Local Used,350772 km,Automatic
Toyota Camry 2003 Black,"Lagos State, Ikorodu","3,990,000",Local Used,477983 km,Automatic
Toyota Corolla 2017 Black,"Rivers State, Port-Harcourt","17,325,000",Foreign Used,75639 km,CVT
Lexus RX 350 2017 Gray,"Lagos State, Lekki","44,720,000",Local Used,44029 km,Automatic
Honda Accord 2006 Silver,"Rivers State, Port-Harcourt","2,625,000",Local Used,106916 km,Manual
Toyota RAV4 2007 Black,"Lagos State, Lekki","7,800,000",Local Used,129662 km,Automatic
Lexus ES 2002 Beige,"Oyo State, Ibadan","4,725,000",Local Used,160888 km,Automatic
Toyota Corolla 2006 Blue,"Oyo State, Ibadan","5,250,000",Local Used,482800 km,Automatic
Toyota Corolla 2008 Black,"Delta State, Oshimili South","4,200,000",Local Used,142191 km,Manual
Nissan Maxima 2005 Black,"Lagos State, Ikotun/Igando","4,200,000",Local Used,110525 km,Automatic
Jeep Wrangler 2014 Black,"Oyo State, Ibadan","42,000,000",Local Used,91384 km,Automatic
Nissan Primera 1998 Silver,"Oyo State, Ibadan","1,575,000",Local Used,577304 km,Manual
Toyota RAV4 Base FWD 2001 Blue,"Lagos State, Ikorodu","4,095,000",Local Used,200747 km,Automatic
Toyota Camry 2007 Blue,"Lagos State, Alimosho","10,920,000",Foreign Used,304236 km,Automatic
Mercedes-Benz CLA-Class CLA 250 Sedan 2014 White,"Lagos State, Lekki","13,020,000",Local Used,241903 km,Automatic
Kia Sportage 2013 Black,"Lagos State, Ikoyi","7,350,000",Local Used,128296 km,Automatic
Toyota Corolla 2005 Black,"Abuja (FCT), Karu","3,675,000",Local Used,299999 km,Automatic
Peugeot 508 2018 Black,"Abuja (FCT), Kubwa","15,750,000",Local Used,88855 km,Automatic
Lexus RX 300 4WD 2000 Brown,"Akwa Ibom State, Uyo","4,680,000",Local Used,129622 km,Automatic
Mercedes-Benz CLK 2003 Black,"Edo State, Benin City","3,675,000",Local Used,125190 km,Automatic
Mercedes-Benz GLA-Class 2017 Black,"Lagos State, Lekki","58,800,000",Local Used,34800 km,Automatic
Hyundai Elantra 2013 White,"Kaduna State, Kaduna / Kaduna State","9,450,000",Foreign Used,83166 km,Automatic
Toyota Land Cruiser Prado 2013 Black,"Lagos State, Ikoyi","28,350,000",Local Used,248027 km,Automatic
Lexus RX 2006 Black,"Lagos State, Ikeja","9,360,000",Local Used,Automatic,Automatic
Lexus RX 300 2003 Gray,"Lagos State, Ikotun/Igando","5,720,000",Local Used,98868 km,Automatic
GMC Terrain 2013 Black,"Lagos State, Ikeja","12,600,000",Local Used,364193 km,Automatic
Toyota Venza V6 2010 White,"Abuja (FCT), Lugbe District","12,048,750",Local Used,236601 km,Automatic
BMW 5 Series 2009 Silver,"Oyo State, Ibadan","3,675,000",Foreign Used,173893 km,Automatic
Acura MDX 2008 White,"Abia State, Umuahia","4,200,000",Local Used,180342 km,Automatic
Honda Accord 2008 Silver,"Lagos State, Amuwo-Odofin","6,864,000",Local Used,223888 km,Automatic
Lexus RX 350 2008 Gold,"Lagos State, Surulere","7,560,000",Local Used,215350 km,Automatic
Toyota Corolla 2009 White,"Lagos State, Ogudu","6,300,000",Local Used,266965 km,Automatic
Mercedes-Benz S-Class 2015 Black,"Lagos State, Ajah","40,950,000",Local Used,123334 km,Automatic
Toyota Corolla 2013 Black,"Lagos State, Yaba","5,775,000",Local Used,311911 km,Automatic
Lexus RX 300 2000 Black,"Lagos State, Ojodu","3,675,000",Local Used,548424 km,Automatic
Toyota Camry 2008 Gold,"Abuja (FCT), Kubwa","8,320,000",Local Used,196164 km,Automatic
Toyota Corolla 2009 Blue,"Abuja (FCT), Kubwa","11,960,000",Foreign Used,48751 km,Automatic
Toyota Highlander 2022 White,"Abuja (FCT), Kubwa","101,920,000",Foreign Used,15523 km,Automatic
Toyota RAV4 2018 Red,"Abuja (FCT), Kubwa","36,400,000",Foreign Used,119765 km,Automatic
Toyota RAV4 2015 Black,"Abuja (FCT), Kubwa","23,920,000",Foreign Used,47768 km,Automatic
Honda Accord 5P 2001 Silver,"Rivers State, Port-Harcourt","2,288,000",Local Used,Automatic,Automatic
Hyundai Elantra 2008 White,"Abuja (FCT), Jabi","7,280,000",Local Used,154894 km,Automatic
Hyundai Elantra 2008 White,"Lagos State, Surulere","3,885,000",Local Used,240470 km,Automatic
Toyota Corolla 2014 Blue,"Abuja (FCT), Gudu","26,000,000",Foreign Used,65520 km,Automatic
Honda Accord 2009 Black,"Lagos State, Kosofe","9,360,000",Foreign Used,127467 km,Automatic
Lexus GX 2004 Gold,"Lagos State, Surulere","9,880,000",Local Used,341341 km,Automatic
Toyota Camry 2010 Gray,"Abuja (FCT), Gudu","8,320,000",Local Used,75057 km,Automatic
Infiniti QX4 2002 Black,"Abuja (FCT), Gwagwalada","3,675,000",Local Used,209090 km,Automatic
Mercedes-Benz C300 2015 Silver,"Lagos State, Lekki","24,440,000",Local Used,176858 km,Automatic
Honda Crosstour 3.5 AWD 2011 Black,"Lagos State, Ojodu","6,825,000",Local Used,162683 km,Automatic
Toyota Corolla 2006 Gold,"Lagos State, Alimosho","4,725,000",Local Used,301370 km,Automatic
Honda Accord 2003 Black,"Lagos State, Surulere","3,952,000",Local Used,483437 km,Automatic
BMW 325i 2014 Black,"Lagos State, Lekki","13,650,000",Local Used,175158 km,Automatic
Toyota Venza 2011 Black,"Lagos State, Lekki","15,540,000",Foreign Used,102501 km,Automatic
Toyota Sienna 2013 Gray,"Lagos State, Lekki","9,135,000",Local Used,80026 km,Automatic
Mercedes-Benz GL-Class 2013 Black,"Lagos State, Ajah","19,320,000",Local Used,145630 km,Automatic
Mercedes-Benz GLC-Class 2018 Silver,"Lagos State, Amuwo-Odofin","44,415,000",Foreign Used,78865 km,Automatic
Mercedes-Benz C300 2008 Gray,"Ogun State, Abeokuta North","7,350,000",Local Used,281743 km,Automatic
Toyota Corolla LE 2007 Gray,"Rivers State, Port-Harcourt","4,620,000",Local Used,19039 km,Automatic
Honda Accord 2003 Silver,"Abuja (FCT), Kubwa","3,640,000",Local Used,14588 km,Automatic
Honda Accord 2010 Black,"Abuja (FCT), Garki 2","4,908,750",Local Used,Automatic,Automatic
Lexus RX 350 2017 Black,"Delta State, Oshimili South","34,650,000",Local Used,107908 km,Automatic
Lexus RX 300 1999 Silver,"Enugu State, Enugu","4,888,000",Local Used,294968 km,Automatic
GAC GS8 2019 White,"Delta State, Oshimili South","84,000,000",Foreign Used,24447 km,Automatic
Lexus RX 2001 Blue,"Lagos State, Amuwo-Odofin","6,240,000",Local Used,445651 km,Automatic
Honda Accord 2008 Blue,"Abuja (FCT), Garki 2","6,760,000",Local Used,Automatic,Automatic
Mazda 3 2010 Black,"Abuja (FCT), Gwagwalada","3,675,000",Local Used,272139 km,Automatic
Mercedes-Benz M Class 2010 Silver,"Delta State, Oshimili South","9,975,000",Local Used,320981 km,Automatic
Toyota Yaris 2008 Black,"Edo State, Benin City","2,940,000",Local Used,Automatic,Automatic
Toyota Camry 2010 Silver,"Lagos State, Alimosho","8,840,000",Local Used,280747 km,Automatic
Lexus ES 350 2007 Blue,"Abuja (FCT), Karu","7,586,250",Local Used,233285 km,Automatic
Lincoln MKZ 2017 Red,"Abuja (FCT), Wuse","26,250,000",Local Used,176588 km,Automatic
Hyundai Elantra 2009 Black,"Lagos State, Yaba","4,200,000",Local Used,179097 km,Automatic
Mercedes-Benz C300 2008 Red,"Lagos State, Yaba","7,770,000",Local Used,247194 km,Automatic
Toyota Corolla 2009 White,"Abuja (FCT), Wuse","7,350,000",Local Used,121340 km,Automatic
Toyota Sienna 2011 Gray,"Lagos State, Ilupeju","21,840,000",Local Used,50656 km,Automatic
Hyundai Elantra 2018 Red,"Abuja (FCT), Gwarinpa","18,690,000",Foreign Used,92807 km,Automatic
Toyota Highlander 2015 Gold,"Abuja (FCT), Gwarinpa","27,040,000",Local Used,59082 km,Automatic
Nissan Pathfinder 2006 Gray,"Abuja (FCT), Kubwa","3,150,000",Local Used,197888 km,Automatic
Toyota Camry 2003 Black,"Abuja (FCT), Lugbe District","3,885,000",Local Used,237356 km,Automatic
Nissan NV3500 2014 White,"Lagos State, Yaba","8,400,000",Local Used,267194 km,Manual
Mercedes-Benz M Class ML 350 4Matic 2008 Black,"Abuja (FCT), Lugbe District","5,806,500",Local Used,331295 km,Automatic
Toyota Avalon 2014 Burgandy,"Lagos State, Lekki","22,880,000",Foreign Used,125494 km,Automatic
Toyota Sienna 2006 Gray,"Lagos State, Kosofe","10,920,000",Foreign Used,312826 km,Automatic
Toyota Camry 2006 Green,"Abuja (FCT), Gudu","7,176,000",Local Used,268974 km,Automatic
Toyota Camry 2003 Gold,"Lagos State, Ojodu","3,780,000",Local Used,176014 km,Automatic
Honda Accord 5P 2001 Silver,"Abuja (FCT), Lugbe District","2,600,000",Local Used,433770 km,Automatic
Nissan Pathfinder 2003 Gold,"Lagos State, Amuwo-Odofin","3,990,000",Local Used,272285 km,Automatic
Lexus RX 350 2010 Red,"Lagos State, Amuwo-Odofin","23,920,000",Foreign Used,296976 km,Automatic
Honda Accord 2009 Brown,"Abuja (FCT), Wuse","4,935,000",Local Used,336770 km,Automatic
Honda Accord 2006 Red,"Lagos State, Isolo","2,425,500",Local Used,148180 km,Automatic
Toyota Corolla 2003 Green,"Lagos State, Amuwo-Odofin","5,200,000",Local Used,298455 km,Automatic
Honda Crosstour 2011 White,"Lagos State, Isolo","9,360,000",Local Used,165274 km,Automatic
Toyota Camry 2007 Silver,"Rivers State, Port-Harcourt","6,760,000",Local Used,144935 km,Automatic
Toyota Corolla 2007 Gold,"Rivers State, Port-Harcourt","4,830,000",Local Used,58205 km,Automatic
Toyota Camry 2012 Gray,"Rivers State, Port-Harcourt","9,660,000",Local Used,184191 km,Automatic
Toyota Camry 2006 Black,"Rivers State, Port-Harcourt","3,937,500",Local Used,215678 km,Automatic
Toyota Corolla 2009 Black,"Edo State, Benin City","7,140,000",Local Used,1486691 km,Automatic
Peugeot 307 2003 Silver,"Abuja (FCT), Gwagwalada","3,150,000",Local Used,999999 km,Manual
Toyota Avalon 2012 Silver,"Abuja (FCT), Lugbe District","9,975,000",Local Used,258371 km,Automatic
Toyota 4-Runner Limited 4WD 2010 Black,"Lagos State, Ojodu","22,152,000",Local Used,106375 km,Automatic
Toyota Corolla 2004 Red,"Abuja (FCT), Karu","4,096,575",Local Used,153212 km,Automatic
Toyota Camry 2008 Gray,"Delta State, Oshimili South","6,090,000",Local Used,159197 km,Automatic
Hyundai Santa Fe 2016 Gray,"Oyo State, Ibadan","21,000,000",Foreign Used,114137 km,Automatic
Mercedes-Benz GLK-Class 350 4MATIC 2014 White,"Lagos State, Lekki","25,480,000",Foreign Used,232969 km,Automatic
Toyota Camry 2009 Blue,"Lagos State, Ajah","6,300,000",Local Used,234928 km,Automatic
BMW X5 2008 Gray,"Abuja (FCT), Kubwa","10,400,000",Local Used,171585 km,Automatic
Land Rover Range Rover Velar 2019 Blue,"Lagos State, Ikeja","56,227,500",Local Used,88450 km,Automatic
Acura MDX 2007 Gray,"Oyo State, Ibadan","5,250,000",Local Used,141001 km,Automatic
Honda Civic 2007 Green,"Lagos State, Ikorodu","2,520,000",Local Used,105030 km,Manual
Volkswagen Jetta 2012 Black,"Lagos State, Ikotun/Igando","8,924,998",Foreign Used,175045 km,Automatic
Toyota Camry 2012 Black,"Lagos State, Kosofe","11,440,000",Local Used,218961 km,Automatic
BMW 330i 2006 Black,"Abuja (FCT), Central Business District","7,350,000",Local Used,308465 km,Automatic
Volkswagen Golf Variant 1999 Red,"Enugu State, Enugu","2,310,000",Local Used,128150 km,Automatic
Toyota Camry 2012 Silver,"Lagos State, Kosofe","14,560,000",Foreign Used,220391 km,Automatic
Mercedes-Benz S-Class 2005 Black,"Lagos State, Ogudu","19,950,000",Local Used,Automatic,Automatic
Toyota Camry 2009 Gray,"Lagos State, Ikoyi","5,775,000",Local Used,134258 km,Automatic
Hyundai Elantra 2008 Blue,"Lagos State, Yaba","3,150,000",Local Used,217371 km,Automatic
Toyota Corolla 2004 Red,"Enugu State, Enugu","6,760,000",Local Used,219952 km,Automatic
Porsche Cayenne 2012 Black,"Lagos State, Lekki","31,500,000",Local Used,38604 km,Automatic
Toyota Highlander 3.0 2001 Silver,"Lagos State, Lekki","5,200,000",Local Used,434697 km,Automatic
Mazda CX-9 2013 Black,"Abuja (FCT), Jabi","11,025,000",Foreign Used,125085 km,Automatic
Honda Accord 2013 Gray,"Abuja (FCT), Lugbe District","14,560,000",Local Used,131524 km,Automatic
Toyota Camry 2003 Gray,"Rivers State, Port-Harcourt","4,680,000",Local Used,296435 km,Automatic
Mercedes-Benz GL-Class 2011 White,"Lagos State, Lekki","22,880,000",Foreign Used,223445 km,Automatic
Toyota Camry 2009 Silver,"Oyo State, Ibadan","5,565,000",Local Used,109658 km,Automatic
Toyota Sienna 2001 Gray,"Enugu State, Enugu","2,835,000",Local Used,264475 km,Automatic
Toyota Sienna 2001 White,"Oyo State, Ibadan","2,938,950",Local Used,218055 km,Automatic
Toyota Sienna 2006 Red,"Rivers State, Port-Harcourt","9,975,000",Foreign Used,293710 km,Automatic
Toyota Highlander Limited V6 FWD 2004 Black,"Kaduna State, Kaduna / Kaduna State","4,494,000",Local Used,144337 km,Automatic
Honda Accord 2008 Silver,"Lagos State, Yaba","4,200,000",Local Used,225735 km,Automatic
Mercedes-Benz M Class 2006 Gold,"Enugu State, Enugu","7,560,000",Local Used,193162 km,Automatic
Toyota RAV4 2003 Silver,"Enugu State, Enugu","5,200,000",Local Used,315000 km,Automatic
Lexus RX 400h 2006 Blue,"Lagos State, Ogba","5,775,000",Local Used,113639 km,Automatic
Jeep Wrangler 2014 Black,"Lagos State, Magodo","14,700,000",Local Used,103816 km,Automatic
GAC GS4 2016 Black,"Abuja (FCT), Wuse","14,175,000",Local Used,31555 km,Automatic
Honda Crosstour 2013 White,"Lagos State, Lekki","14,175,000",Local Used,108510 km,Automatic
Changan CS35 2023 Gray,"Lagos State, Ikoyi","42,000,000",Local Used,9209 km,Automatic
Toyota Corolla 2006 Gray,"Abuja (FCT), Gwarinpa","5,512,000",Local Used,140322 km,Automatic
Lexus IS 2008 Gray,"Abuja (FCT), Gwarinpa","8,840,000",Local Used,162525 km,Automatic
Honda CR-V 2009 Green,"Lagos State, Magodo","6,344,000",Local Used,114589 km,Automatic
Hyundai Sonata 2015 Silver,"Lagos State, Ikeja","10,752,000",Local Used,60949 km,Automatic
Ford Explorer 2012 Gold,"Lagos State, Ilupeju","20,800,000",Foreign Used,141451 km,Automatic
Lexus RX 300 1999 White,"Oyo State, Ibadan","3,465,000",Local Used,138081 km,Automatic
Ford Edge 2012 Black,"Lagos State, Ikorodu","6,510,000",Local Used,169048 km,Automatic
Toyota Camry 2012 White,"Lagos State, Lekki","15,600,000",Foreign Used,236701 km,Automatic
Toyota Highlander 2005 Red,"Lagos State, Alimosho","6,300,000",Local Used,328054 km,Automatic
Toyota Camry 2006 Black,"Abuja (FCT), Karu","6,032,000",Local Used,216424 km,Automatic
Pontiac Aztek 2001 Red,"Enugu State, Enugu","4,725,000",Local Used,104114 km,Automatic
Ford F-150 2003 White,"Abuja (FCT), Wuse","7,875,000",Foreign Used,255231 km,Automatic
Nissan Pathfinder 2005 Gray,"Lagos State, Isolo","4,888,000",Local Used,196778 km,Automatic
Toyota Hilux 2020 White,"Lagos State, Lekki","64,480,000",Local Used,37217 km,Automatic
Mercedes-Benz E350 2011 Red,"Lagos State, Lekki","18,720,000",Foreign Used,170158 km,Automatic
Nissan Frontier 2005 Black,"Lagos State, Abule Egba","5,460,000",Local Used,119233 km,Automatic
Honda Crosstour 3.5 AWD 2012 Blue,"Akwa Ibom State, Uyo","8,840,000",Local Used,225185 km,Automatic
Honda Accord 2013 Black,"Abuja (FCT), Gwarinpa","9,975,000",Local Used,91624 km,Automatic
Toyota Corolla 2010 Black,"Rivers State, Port-Harcourt","7,800,000",Local Used,163838 km,Automatic
Ford Focus 2005 Silver,"Abia State, Aba North","3,150,000",Local Used,130142 km,Automatic
Lexus RX 400h 2006 Silver,"Lagos State, Kosofe","5,565,000",Local Used,181720 km,Automatic
Mercedes-Benz M Class ML 350 4Matic 2007 White,"Abuja (FCT), Lugbe District","9,360,000",Local Used,169090 km,Automatic
Mercedes-Benz C230 2005 Black,"Abuja (FCT), Lugbe District","4,368,000",Local Used,345209 km,Automatic
Toyota Avensis 1.8 Sedan Automatic 2003 Gray,"Abuja (FCT), Lugbe District","4,680,000",Local Used,293662 km,Automatic
