LOCATION,CAR NAME,PRICE IN NAIRA,USE HISTORY,MILAGE,TRANSMISSION
"Akwa Ibom State, Uyo",Honda CR-V Automatic 2005 Black,"3,600,000",Local Used,213738 km,Automatic
"Oyo State, Ibadan",Toyota Corolla 2005 Red,"5,062,500",Local Used,462572 km,Automatic
"Lagos State, Ikotun/Igando",Volkswagen Golf 1999 Black,"3,375,000",Local Used,305884 km,Automatic
"Abuja (FCT), Garki 2",Hyundai Accent 2012 Gold,"6,187,500",Local Used,203750 km,Automatic
"Rivers State, Port-Harcourt",Toyota Fortuner 2.7 AWD 2014 White,"15,412,500",Local Used,214791 km,Automatic
"Abuja (FCT), Kubwa",Toyota Camry 2008 Gray,"7,650,000",Local Used,244948 km,Automatic
"Lagos State, Ikorodu",Mazda CX-9 2008 Black,"6,187,500",Local Used,163443 km,Automatic
"Enugu State, Enugu",Acura MDX 2008 Green,"5,625,000",Local Used,350015 km,Automatic
"Lagos State, Lekki",Ford Escape 2014 Black,"8,100,000",Local Used,89621 km,Automatic
"Lagos State, Yaba",Mitsubishi Lancer 2008 Black,"3,375,000",Local Used,177573 km,Automatic
"Ogun State, Abeokuta North",Nissan Primera 2005 Silver,"1,687,500",Local Used,184658 km,Automatic
"Abuja (FCT), Lugbe District",Toyota Camry 2013 Silver,"12,375,000",Local Used,227476 km,Automatic
"Rivers State, Port-Harcourt",Toyota Matrix 2006 Green,"5,625,000",Local Used,139261 km,Automatic
"Abuja (FCT), Gudu",Kia Forte 2010 Silver,"2,812,500",Local Used,265180 km,Automatic
"Lagos State, Ogudu",Toyota Corolla 2005 Gray,"4,612,500",Local Used,197708 km,Automatic
"Lagos State, Lekki",Toyota Venza V6 2010 Silver,"17,690,625",Foreign Used,217038 km,Automatic
"Abuja (FCT), Jabi",Ford Edge 2011 Black,"6,300,000",Local Used,128359 km,Automatic
"Kaduna State, Kaduna / Kaduna State",Toyota Sienna LE 2002 Silver,"3,150,000",Local Used,281861 km,Automatic
"Lagos State, Ojodu",Toyota Camry 2009 Gray,"8,437,500",Local Used,284870 km,Automatic
"Abuja (FCT), Garki 2",Volkswagen Passat 2008 Black,"5,062,500",Local Used,235252 km,Automatic
